"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.556533699883627,0.723,0.577,0,"0","PSIP1"
0,0.689806432606823,0.492,0.347,0,"0","FKBP5"
0,0.838992096908476,0.344,0.199,0,"0","TNFRSF25"
0,0.644288716558188,0.539,0.395,0,"0","CHD3"
0,0.518037858061374,0.547,0.404,0,"0","PAG1"
0,0.440619645246876,0.8,0.659,0,"0","GYPC"
0,0.630632398038293,0.706,0.568,0,"0","CYLD"
0,0.5303384825387,0.832,0.695,0,"0","HIST1H4C"
0,0.543992046758544,0.638,0.501,0,"0","PPA1"
0,0.733858015336882,0.984,0.849,0,"0","GAS5"
0,0.546809107428803,0.764,0.629,0,"0","ZC3HAV1"
0,0.629379430444345,0.968,0.841,0,"0","FOXP1"
0,1.00886765882599,0.328,0.202,0,"0","SOCS3"
0,0.641132761240887,0.414,0.289,0,"0","HSPB1"
0,0.446944445839854,0.4,0.275,0,"0","RGCC"
0,0.988435614230694,0.286,0.162,0,"0","AP3M2"
0,0.61441907335348,0.574,0.45,0,"0","AL499604.1"
0,0.800797922757781,0.34,0.217,0,"0","SH3YL1"
0,0.816720079812367,0.291,0.168,0,"0","CD5"
0,0.515139858558862,0.318,0.196,0,"0","AQP3"
0,0.447766475467881,0.803,0.682,0,"0","EPB41"
0,0.527403288109621,0.553,0.433,0,"0","EPB41L4A-AS1"
0,0.450348025171876,0.611,0.491,0,"0","MZT2A"
0,0.778372741798839,0.332,0.213,0,"0","ATP6V0E2"
0,0.638119732539075,0.43,0.311,0,"0","ATF7IP2"
0,0.927283779386603,0.276,0.158,0,"0","SELENOM"
0,0.459527979739732,0.67,0.552,0,"0","NDUFA12"
0,0.781622267264519,0.984,0.866,0,"0","SNHG29"
0,0.899076066416297,0.307,0.191,0,"0","SGTB"
0,0.53445895260134,0.592,0.477,0,"0","ALKBH7"
0,0.285672477314,0.937,0.823,0,"0","EVL"
0,0.587577630807043,0.28,0.167,0,"0","NELL2"
0,0.451375198912638,0.9,0.787,0,"0","TRAF3IP3"
0,0.627239368372884,0.294,0.184,0,"0","STMN1"
0,0.451174687287784,0.777,0.67,0,"0","PPP1R2"
0,0.46795479439609,0.896,0.789,0,"0","ANP32B"
0,0.809629586780316,0.29,0.183,0,"0","PCED1B"
0,0.87913532259482,0.265,0.161,0,"0","LINS1"
0,0.449749584612943,0.768,0.666,0,"0","ST13"
0,0.516729523213786,0.864,0.763,0,"0","NSA2"
0,0.907492022582136,0.283,0.182,0,"0","LRRC75A"
0,0.342003433934788,0.798,0.698,0,"0","SOD1"
0,0.667734909190532,0.981,0.883,0,"0","EIF3E"
0,0.413440579140239,0.904,0.809,0,"0","EIF3H"
0,0.849810077095472,0.991,0.898,0,"0","SARAF"
0,0.456055038544137,0.918,0.831,0,"0","IKZF1"
0,0.36079772739814,0.849,0.764,0,"0","UXT"
0,0.353538432293589,0.886,0.803,0,"0","MZT2B"
0,0.419814439313638,0.939,0.858,0,"0","SNHG5"
0,0.355430518646703,0.892,0.811,0,"0","EIF4B"
0,0.336203996722164,0.939,0.867,0,"0","SNHG6"
0,0.290527307846096,0.924,0.858,0,"0","COX6C"
0,0.343013821679693,0.897,0.835,0,"0","LINC01578"
0,0.524114378642224,0.989,0.933,0,"0","NOP53"
0,0.601621464925722,0.995,0.943,0,"0","NPM1"
0,0.319509377571368,0.925,0.878,0,"0","SKP1"
0,0.523288595882814,0.989,0.943,0,"0","UQCRB"
0,0.543196779646865,0.994,0.952,0,"0","RPS10"
0,0.289771145128516,0.965,0.923,0,"0","COMMD6"
0,0.30711146820887,0.989,0.957,0,"0","HNRNPA1"
0,0.444830943666103,0.996,0.966,0,"0","RPS17"
0,0.360120321140533,0.992,0.964,0,"0","COX7C"
0,0.286103529523424,0.993,0.967,0,"0","BTF3"
0,0.697796014460163,0.998,0.975,0,"0","TOMM7"
0,0.310448354800259,0.991,0.97,0,"0","COX4I1"
0,0.669985457755156,0.999,0.979,0,"0","RPL23"
0,0.66989362764584,0.999,0.98,0,"0","RPL31"
0,0.575179801924463,0.999,0.981,0,"0","EEF1B2"
0,0.266460557366448,0.999,0.984,0,"0","RPLP0"
0,0.418399030873188,0.999,0.984,0,"0","RPL4"
0,0.47433023529992,0.999,0.986,0,"0","RPS5"
0,0.532899856826648,0.999,0.987,0,"0","EEF1G"
0,0.277628679791602,0.998,0.987,0,"0","EEF1D"
0,0.296206835766527,0.999,0.989,0,"0","BTG1"
0,0.47447410652467,0.999,0.989,0,"0","RPL36A"
0,0.405827347345258,0.999,0.99,0,"0","RPSA"
0,0.663341010254448,1,0.991,0,"0","RPL38"
0,0.65845324872018,0.999,0.991,0,"0","RPL22"
0,0.448694360317722,0.999,0.991,0,"0","RPL10A"
0,0.569862852599626,0.999,0.991,0,"0","RPS20"
0,0.491834508361283,0.999,0.991,0,"0","RPL27"
0,0.550240130011933,0.999,0.992,0,"0","RPL24"
0,0.579684370906175,0.999,0.992,0,"0","RPL7"
0,0.501020289778126,1,0.994,0,"0","RPL5"
0,0.46989915942375,1,0.994,0,"0","RPL14"
0,0.316548452555732,0.999,0.993,0,"0","RACK1"
0,0.336825887187752,0.999,0.993,0,"0","RPL35"
0,0.274967554752447,1,0.994,0,"0","RPL12"
0,0.650959496927135,1,0.994,0,"0","RPS25"
0,0.546686391372648,0.965,0.959,0,"0","RPS26"
0,0.437748483820805,0.999,0.993,0,"0","NACA"
0,0.353400190425613,1,0.994,0,"0","RPL23A"
0,0.593643329676694,1,0.994,0,"0","RPS16"
0,0.341961113206179,1,0.994,0,"0","RPS9"
0,0.524827757077208,1,0.995,0,"0","RPS8"
0,0.271193661342987,1,0.995,0,"0","RPS7"
0,0.651873766078099,1,0.995,0,"0","RPL9"
0,0.581838227980426,1,0.995,0,"0","RPS6"
0,0.393466851957919,0.999,0.994,0,"0","RPL27A"
0,0.685506740638575,0.999,0.994,0,"0","RPS13"
0,0.383639998586636,1,0.995,0,"0","RPS15"
0,0.485596047367165,0.999,0.994,0,"0","RPL36"
0,0.315635405329999,1,0.995,0,"0","RPL18A"
0,0.377745617150198,0.999,0.994,0,"0","UBA52"
0,0.433654548351118,1,0.995,0,"0","RPL18"
0,0.524330207385352,1,0.995,0,"0","RPS21"
0,0.493221302609332,1,0.995,0,"0","RPL3"
0,0.473477473413173,1,0.995,0,"0","RPS4X"
0,0.54765742929921,1,0.995,0,"0","RPL39"
0,0.579306020111771,1,0.996,0,"0","RPL11"
0,0.420913116366156,1,0.996,0,"0","RPL37A"
0,0.637440512833589,1,0.996,0,"0","RPL32"
0,0.432138169802202,0.999,0.995,0,"0","RPL29"
0,0.653795020060111,1,0.996,0,"0","RPL34"
0,0.521680560559507,1,0.996,0,"0","RPL37"
0,0.543280154138772,1,0.996,0,"0","RPS23"
0,0.579574016153387,1,0.996,0,"0","RPS14"
0,0.48600055319146,1,0.996,0,"0","RPS18"
0,0.647992445879069,1,0.996,0,"0","RPL30"
0,0.290991813413623,0.999,0.995,0,"0","RPL7A"
0,0.361118784974861,1,0.996,0,"0","RPS24"
0,0.533055663006013,1,0.996,0,"0","RPLP2"
0,0.481418991525793,0.999,0.995,0,"0","RPS3"
0,0.374826129547412,0.999,0.995,0,"0","RPL6"
0,0.655379458808885,1,0.996,0,"0","RPL21"
0,0.612281037632073,1,0.996,0,"0","RPS29"
0,0.600809312692224,1,0.996,0,"0","RPS15A"
0,0.341927574115452,0.999,0.995,0,"0","RPL26"
0,0.491471887607532,1,0.996,0,"0","RPL19"
0,0.382995603286377,1,0.996,0,"0","RPL17"
