"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
1.00007023500716e-109,1.10375191587477,0.694,0.356,2.45217221623755e-105,"RPS4Y1","9"
1.65490107581438e-92,-1.27147539023162,0.236,0.544,4.05781743789686e-88,"XIST","9"
1.0002997131645e-44,0.884247816589839,0.44,0.235,2.45273489667935e-40,"DDX3Y","9"
1.44382666269631e-37,-0.422825931845333,0.976,0.983,3.54026297693136e-33,"RPS26","9"
2.05332948465148e-36,-0.491396286172092,0.78,0.854,5.03476389636543e-32,"SNHG8","9"
1.68722153481519e-32,1.21828769424393,0.264,0.123,4.13706720336684e-28,"PRKY","9"
8.03388852478671e-28,1.05062289850869,0.258,0.129,1.9699094662777e-23,"UTY","9"
7.76018363092709e-22,-0.287850341367819,0.992,0.996,1.90279702630332e-17,"JUND","9"
7.20583969242348e-21,-0.96067824793609,0.187,0.3,1.76687189258224e-16,"FAM118A","9"
1.33516978004309e-20,-0.515787953659177,0.484,0.612,3.27383630066565e-16,"GABPB1-AS1","9"
2.1251081344315e-19,0.735268974052944,0.287,0.171,5.21076514562605e-15,"USP9Y","9"
8.15738958521043e-17,1.30320489737157,0.128,0.055,2.0001919262936e-12,"SCGB3A1","9"
4.05228534723249e-16,-0.325030308311853,0.76,0.822,9.93620367141406e-12,"TRA2B","9"
1.04992915782446e-14,-0.304570938163892,0.847,0.893,2.57442629498557e-10,"DDX3X","9"
2.51642006106674e-13,0.887083797327286,0.173,0.098,6.17026198973564e-09,"EIF1AY","9"
4.14177194316647e-12,0.653520613058898,0.351,0.262,1.01556248046442e-07,"TRGC1","9"
3.20966523280388e-11,0.875050216075234,0.129,0.068,7.8700991508351e-07,"ZFY","9"
1.32693412600708e-10,0.96044531369007,0.112,0.058,3.25364247696936e-06,"KDM5D","9"
2.1933764098968e-10,0.564669035798296,0.376,0.297,5.37815895706695e-06,"A2M-AS1","9"
2.90990237567393e-10,0.844814563365583,0.147,0.086,7.13508062515248e-06,"NTPCR","9"
5.5784931073547e-10,0.827361116813624,0.144,0.085,1.36784650992337e-05,"ID3","9"
7.75573123968063e-10,0.324938784477454,0.572,0.495,1.90170529996969e-05,"GSTP1","9"
3.9211969861317e-09,-0.254918290696696,0.648,0.716,9.61477500999493e-05,"PIK3IP1","9"
1.20894030754888e-08,0.623906929247431,0.179,0.119,0.000296432163410986,"AL662844.4","9"
1.77177403500802e-08,-0.729604319644537,0.107,0.164,0.000434438993383967,"BX890604.2","9"
3.36544911276723e-08,-0.748129329951829,0.447,0.513,0.000825208122450524,"MTRNR2L8","9"
4.33906126274187e-08,-0.404886816424034,0.429,0.495,0.00106393782162431,"HIST1H1D","9"
5.04095174857222e-08,-0.351105883905343,0.456,0.534,0.00123604136874991,"ANXA1","9"
5.52154513049243e-08,-0.424671964997684,0.24,0.312,0.00135388286599675,"PRKX","9"
2.4433118535677e-07,0.314924158547305,0.505,0.437,0.00599100066494801,"KLRG1","9"
2.78163169061759e-07,-0.41416512692295,0.231,0.298,0.00682056090539432,"RFLNB","9"
3.23721297414006e-07,-0.273525983527514,0.561,0.625,0.00793764621259144,"CDC14A","9"
4.51840030578714e-07,-0.328196220329924,0.341,0.415,0.0110791175497901,"ERAP2","9"
4.54139740614445e-07,-0.656599365216798,0.081,0.128,0.0111355064398662,"LINC02580","9"
5.05971383736668e-07,-0.282215958857252,0.322,0.399,0.0124064183292231,"DDIT4","9"
5.50477402921219e-07,0.68085188453531,0.1,0.059,0.0134977059196283,"TTTY14","9"
7.78938351173323e-07,-0.273695709462746,0.527,0.591,0.0190995683707699,"EIF1AX","9"
8.55133292571051e-07,-0.599592987959636,0.14,0.193,0.0209678683338422,"IFITM3","9"
1.0364571029774e-06,-0.46759953059822,0.305,0.367,0.0254139281650059,"HIST1H1E","9"
3.43495800899354e-06,-0.269999685240554,0.354,0.424,0.0842251703805216,"HIST2H2AC","9"
3.48205523445807e-06,-0.637552007893574,0.075,0.117,0.0853799943489118,"MTSS1","9"
6.11682666370443e-06,-0.475426208247353,0.114,0.161,0.149984589794033,"GOLGA8A","9"
8.14659351692296e-06,0.381968345947398,0.237,0.183,0.199754473034951,"NBPF19","9"
8.91030452679852e-06,-0.503565192378553,0.159,0.21,0.2184806669971,"CR1","9"
9.25371268538456e-06,-0.581910559285633,0.117,0.163,0.226901035045629,"CENPK","9"
1.36076711562222e-05,-0.3886815904654,0.187,0.243,0.333660096750569,"PGGHG","9"
1.87242798628513e-05,-0.669626709358569,0.112,0.154,0.459119342237115,"CRIP2","9"
2.1196520130634e-05,-0.594958156357702,0.097,0.138,0.519738673603147,"ITPRIP","9"
2.65992190023391e-05,0.521044218606438,0.216,0.169,0.652212849937356,"NSF","9"
2.84410936217544e-05,0.285324367119223,0.325,0.267,0.697375615605418,"PLP2","9"
3.33513337490589e-05,-0.350355172546675,0.398,0.449,0.817774703526925,"TSPYL2","9"
3.37545429138088e-05,0.599998512422864,0.173,0.13,0.827661392246591,"COL6A2","9"
5.30014884143996e-05,-0.377028273056025,0.128,0.173,1,"PCBP1-AS1","9"
5.34100020953383e-05,-0.351862875756802,0.181,0.233,1,"ARL16","9"
5.54808416232512e-05,-0.439791658329846,0.15,0.195,1,"NPHP3","9"
6.17020520795842e-05,0.275702346490089,0.43,0.375,1,"CST7","9"
6.80972468390409e-05,0.395323155663477,0.237,0.189,1,"GOLGA8B","9"
7.4163723545582e-05,-0.484024864547437,0.127,0.168,1,"DHRS1","9"
7.44139574790675e-05,-0.426605201892923,0.117,0.159,1,"WAKMAR2","9"
8.14390458713795e-05,0.606724336662963,0.114,0.08,1,"LINC00339","9"
0.000128797862627949,-0.342321869834267,0.111,0.153,1,"HIST1H2BN","9"
0.000135901049916055,0.300096242555675,0.35,0.3,1,"CXCR3","9"
0.00013889898491412,-0.283824497023205,0.286,0.337,1,"MBD2","9"
0.0001422327623114,-0.314762220317193,0.279,0.334,1,"HIST1H1C","9"
0.000162690028565159,-0.534096847470168,0.123,0.163,1,"AC103591.3","9"
0.000164844406298441,-0.251936697249158,0.401,0.454,1,"MT-ATP8","9"
0.00017337332743087,-0.417526410430969,0.13,0.171,1,"AHI1","9"
0.000189454195975138,-0.36224803919335,0.127,0.168,1,"KDM6A","9"
0.000214195908878857,-0.578239280511389,0.074,0.106,1,"AL592183.1","9"
0.000256962143637191,-0.472263298305859,0.087,0.121,1,"PEX6","9"
0.000279698681605571,-0.456219735489066,0.119,0.156,1,"TRIB2","9"
0.000289321888060655,0.272945352448889,0.362,0.318,1,"CDK2AP2","9"
0.00031597041112115,0.403093386702333,0.116,0.083,1,"PLEK","9"
0.000317541099171259,-0.357186862152912,0.229,0.273,1,"KMT2E-AS1","9"
0.000343719424377753,0.343349326414935,0.222,0.181,1,"ZNF75A","9"
0.000372192995064809,-0.313346349117984,0.155,0.198,1,"LINC00476","9"
0.000392214568562397,0.371625626590369,0.285,0.243,1,"HLA-DPB1","9"
0.00041819525461556,-0.46017135984332,0.075,0.106,1,"NDUFAF1","9"
0.000441750308764762,-0.320064894622385,0.193,0.237,1,"HIST1H3D","9"
0.000476314029192624,0.504657620197918,0.101,0.071,1,"PAX8-AS1","9"
0.000482194124171345,-0.410570568348535,0.123,0.16,1,"UBE2W","9"
0.000498598394066771,-0.266818366803379,0.423,0.468,1,"SBDS","9"
0.000520562234753719,-0.429351328093842,0.119,0.155,1,"ZNF787","9"
0.000526116128317739,-0.34028369513246,0.15,0.19,1,"RGS2","9"
0.000537477110224743,0.509879022327314,0.191,0.155,1,"SERPINB9","9"
0.000665043225661153,-0.436709005804553,0.118,0.153,1,"AC013264.1","9"
0.000721556871815135,0.293312378297344,0.325,0.277,1,"SUMF2","9"
0.000738614497230539,0.252208480809716,0.227,0.187,1,"BAG6","9"
0.000775688509236667,-0.359326381693128,0.354,0.39,1,"KLRC2","9"
0.000793460904263514,-0.342342564614596,0.178,0.218,1,"GADD45A","9"
0.000826499541751044,-0.420604745538566,0.086,0.116,1,"MED14","9"
0.00084121278445751,-0.268511302318135,0.23,0.276,1,"TCERG1","9"
0.000843625088776146,0.298331776986265,0.233,0.193,1,"IGFLR1","9"
0.000863715996865727,-0.337643873013999,0.173,0.213,1,"MAP3K4","9"
0.0008756162652495,0.295879877044509,0.256,0.217,1,"EFHD2","9"
0.000979374758983403,0.295635233951069,0.324,0.284,1,"NFE2L2","9"
0.000984758178798905,-0.446442338477422,0.131,0.165,1,"TIPARP","9"
0.00104763295999018,-0.383295747387858,0.121,0.155,1,"LINC00649","9"
0.00112473636360987,0.503875382467401,0.135,0.104,1,"C2orf74","9"
0.00118058826584713,0.301319586600881,0.245,0.21,1,"DNAJB11","9"
0.00120432593703363,-0.355238556654286,0.109,0.142,1,"CITED4","9"
0.00123859439464966,-0.295359667314446,0.207,0.246,1,"AL118516.1","9"
0.00130107745410882,0.289436091022143,0.243,0.204,1,"CTBP1","9"
0.00143003659857044,-0.572582616433137,0.079,0.107,1,"LYZ","9"
0.00149851356863547,-0.314269058131251,0.165,0.202,1,"SNX1","9"
0.00151640952596351,0.400421145703236,0.144,0.113,1,"CPNE2","9"
0.00153342324855718,0.294662445310344,0.519,0.494,1,"KLRD1","9"
0.0016852583378699,-0.266640332249438,0.256,0.296,1,"AP1S2","9"
0.00179106755865471,0.265072318683384,0.525,0.483,1,"NKG7","9"
0.00194304646317006,0.423604125248392,0.137,0.107,1,"PLEKHM2","9"
0.00201803905529947,-0.505985769028229,0.076,0.102,1,"CHRM3-AS2","9"
0.00203812087415891,-0.404784789074253,0.12,0.152,1,"MAFF","9"
