"Sample_ID","Condition","seurat_clusters","count","total","proportion"
"GSM6616997","Control","4",187,4835,3.86763185108583
"GSM6616997","Control","5",171,4835,3.53671147880041
"GSM6616997","Control","6",147,4835,3.04033092037229
"GSM6616997","Control","7",159,4835,3.28852119958635
"GSM6616997","Control","8",148,4835,3.06101344364012
"GSM6616997","Control","9",393,4835,8.1282316442606
"GSM6616997","Control","10",220,4835,4.55015511892451
"GSM6616997","Control","11",47,4835,0.972078593588418
"GSM6616997","Control","12",18,4835,0.372285418821096
"GSM6616997","Control","13",34,4835,0.703205791106515
"GSM6616997","Control","14",7,4835,0.144777662874871
"GSM6616997","Control","15",8,4835,0.165460186142709
"GSM6616997","Control","16",6,4835,0.124095139607032
"GSM6616998","Control","0",1240,3776,32.8389830508475
"GSM6616998","Control","1",542,3776,14.353813559322
"GSM6616998","Control","2",430,3776,11.3877118644068
"GSM6616998","Control","3",217,3776,5.74682203389831
"GSM6616998","Control","4",218,3776,5.77330508474576
"GSM6616998","Control","5",222,3776,5.87923728813559
"GSM6616998","Control","6",354,3776,9.375
"GSM6616998","Control","7",90,3776,2.38347457627119
"GSM6616998","Control","8",138,3776,3.65466101694915
"GSM6616998","Control","9",99,3776,2.6218220338983
"GSM6616998","Control","10",114,3776,3.01906779661017
"GSM6616998","Control","11",40,3776,1.0593220338983
"GSM6616998","Control","12",37,3776,0.979872881355932
"GSM6616998","Control","13",19,3776,0.503177966101695
"GSM6616998","Control","14",7,3776,0.185381355932203
"GSM6616998","Control","15",4,3776,0.105932203389831
"GSM6616998","Control","16",5,3776,0.132415254237288
"GSM6616999","Control","0",1037,4508,23.0035492457853
"GSM6616999","Control","1",446,4508,9.89352262644188
"GSM6616999","Control","2",466,4508,10.3371783496007
"GSM6616999","Control","3",358,4508,7.94143744454303
"GSM6616999","Control","4",205,4508,4.54747116237799
"GSM6616999","Control","5",339,4508,7.51996450754215
"GSM6616999","Control","6",482,4508,10.6921029281278
"GSM6616999","Control","7",425,4508,9.42768411712511
"GSM6616999","Control","8",249,4508,5.52351375332742
"GSM6616999","Control","9",256,4508,5.67879325643301
"GSM6616999","Control","10",104,4508,2.30700976042591
"GSM6616999","Control","11",51,4508,1.13132209405501
"GSM6616999","Control","12",29,4508,0.643300798580302
"GSM6616999","Control","13",25,4508,0.554569653948536
"GSM6616999","Control","14",11,4508,0.244010647737356
"GSM6616999","Control","15",23,4508,0.510204081632653
"GSM6616999","Control","16",2,4508,0.0443655723158829
"GSM6617000","Control","0",533,4501,11.8418129304599
"GSM6617000","Control","1",296,4501,6.57631637413908
"GSM6617000","Control","2",446,4501,9.90890913130415
"GSM6617000","Control","3",459,4501,10.1977338369251
"GSM6617000","Control","4",708,4501,15.7298378138192
"GSM6617000","Control","5",404,4501,8.97578315929793
"GSM6617000","Control","6",596,4501,13.2415018884692
"GSM6617000","Control","7",266,4501,5.90979782270607
"GSM6617000","Control","8",403,4501,8.95356587425017
"GSM6617000","Control","9",67,4501,1.4885580982004
"GSM6617000","Control","10",106,4501,2.35503221506332
"GSM6617000","Control","11",103,4501,2.28838035992002
"GSM6617000","Control","12",35,4501,0.777604976671851
"GSM6617000","Control","13",43,4501,0.955343257053988
"GSM6617000","Control","14",14,4501,0.31104199066874
"GSM6617000","Control","15",14,4501,0.31104199066874
"GSM6617000","Control","16",8,4501,0.177738280382137
"GSM6617001","Control","0",1203,4419,27.2233536999321
"GSM6617001","Control","1",486,4419,10.9979633401222
"GSM6617001","Control","2",342,4419,7.73930753564155
"GSM6617001","Control","3",309,4419,6.99253224711473
"GSM6617001","Control","4",391,4419,8.84815569133288
"GSM6617001","Control","5",251,4419,5.68001810364336
"GSM6617001","Control","6",505,4419,11.4279248698801
"GSM6617001","Control","7",151,4419,3.41706268386513
"GSM6617001","Control","8",228,4419,5.15953835709437
"GSM6617001","Control","9",251,4419,5.68001810364336
"GSM6617001","Control","10",148,4419,3.34917402127178
"GSM6617001","Control","11",59,4419,1.33514369766916
"GSM6617001","Control","12",26,4419,0.58836840914234
"GSM6617001","Control","13",13,4419,0.29418420457117
