"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
1.89264323114221e-138,-1.08706300146738,0.297,0.544,4.64076120276071e-134,"XIST","3"
8.89782819543171e-133,0.810368209695464,0.659,0.398,2.18174747351986e-128,"RPS4Y1","3"
1.29887971302796e-117,-1.38637187587548,0.23,0.43,3.18485305634456e-113,"FAM118A","3"
7.08264979101407e-87,0.385669862676776,0.96,0.916,1.73666572875665e-82,"SNHG5","3"
1.57316081904752e-80,-0.476175371109774,0.835,0.902,3.85739032830451e-76,"SNHG8","3"
1.17657255688518e-66,0.264535838268473,0.994,0.992,2.88495590948246e-62,"RPS10","3"
1.39223874553927e-58,0.680168190280843,0.42,0.255,3.41376940406229e-54,"DDX3Y","3"
3.84494045363022e-55,-0.558868971522597,0.498,0.636,9.42779399230129e-51,"GABPB1-AS1","3"
2.35441251163231e-51,0.869599105451577,0.309,0.178,5.77301947852243e-47,"PRKY","3"
5.47296584278295e-49,-0.651746488147726,0.33,0.473,1.34197122465038e-44,"PLCG2","3"
8.69271060222331e-48,-0.675943643353951,0.438,0.558,2.13145263966516e-43,"HIST1H1D","3"
9.14520501627448e-42,1.56094241786459,0.109,0.036,2.2424042699905e-37,"FMN1","3"
5.57571355401543e-40,-0.683524733876399,0.317,0.438,1.36716496344458e-35,"HIST1H1C","3"
4.32877815123061e-39,-0.336992790545156,0.797,0.845,1.06141640268175e-34,"TRA2B","3"
7.57772938396456e-39,-0.76265068680167,0.269,0.382,1.85805924494811e-34,"HIST1H1E","3"
3.60083266521915e-37,-0.300199424421454,0.833,0.882,8.82924169511736e-33,"DDX3X","3"
1.55238983145072e-35,0.396368634565301,0.638,0.52,3.80645986671716e-31,"PLP2","3"
2.09237910034707e-34,-0.508781304872478,0.375,0.486,5.13051355405102e-30,"MBD2","3"
3.1699156665283e-31,0.835242154267596,0.227,0.135,7.77263321432738e-27,"HOPX","3"
7.32237459661638e-31,0.748797737799372,0.245,0.15,1.79544625109034e-26,"UTY","3"
1.14569955011315e-28,0.651375655618707,0.288,0.192,2.80925529687745e-24,"USP9Y","3"
4.9374124220501e-26,0.653422273900935,0.25,0.161,1.21065352588668e-21,"EIF1AY","3"
1.08499097765833e-24,-0.39537240535191,0.449,0.54,2.66039787721821e-20,"CEMIP2","3"
1.19693176649541e-24,-0.710907436377288,0.143,0.223,2.93487669144674e-20,"BEX3","3"
5.44735837311175e-24,-0.286323920303864,0.726,0.785,1.335692273087e-19,"PIK3IP1","3"
4.15959030938772e-23,-0.270210647114935,0.799,0.844,1.01993154386187e-18,"SEPTIN6","3"
