"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
2.04923544914356e-06,-1.93621522318863,0.11,0.312,0.0502472532130001,"XIST","14"
1.62993543733975e-05,1.49403569715581,0.22,0.068,0.399660169235708,"EIF1AY","14"
0.000260524525959889,0.80134816941215,0.372,0.201,1,"RPS4Y1","14"
0.000308802220500052,0.884684985789076,0.274,0.128,1,"SFT2D1","14"
0.000332526441236681,0.537898283997475,0.512,0.321,1,"MAP2K3","14"
0.000604680107663407,-0.336738484361093,0.927,0.944,1,"MTRNR2L12","14"
0.000657583949477724,-0.823172951940881,0.28,0.444,1,"UBE2I","14"
0.000682219185942972,1.21206380899298,0.171,0.064,1,"UTY","14"
0.00069236562954346,-2.1533983402744,0.03,0.128,1,"C16orf72","14"
0.000696064340131583,1.15902515604398,0.28,0.141,1,"AP000547.3","14"
0.000743216103205014,0.512949635071614,0.75,0.594,1,"FXYD5","14"
0.00093020358656065,-1.48493480433011,0.098,0.218,1,"ZCCHC7","14"
0.000971615261147887,0.478969349167104,0.463,0.291,1,"SLA2","14"
0.00160476180906771,-1.12427322998216,0.159,0.286,1,"LINC00623","14"
0.00180488516948844,1.14698238167967,0.25,0.128,1,"VAPB","14"
0.00181951874421558,-1.38092624832302,0.134,0.252,1,"ZAP70","14"
0.00189892617600703,1.01273062431806,0.311,0.184,1,"TRIM56","14"
0.00204465928108044,-1.89696467518516,0.043,0.132,1,"GAR1","14"
0.00219038578890556,1.18863814122277,0.165,0.068,1,"POGZ","14"
0.0023665835183161,-0.300413979058566,0.854,0.927,1,"MT-ND5","14"
0.00241372220857872,-1.74934204628128,0.037,0.124,1,"TSPAN2","14"
0.00243009372833413,2.39283732762286,0.104,0.03,1,"DHRS4-AS1","14"
0.0024408141669399,-1.42299935171909,0.085,0.192,1,"COQ7","14"
0.00257117047718908,-0.93047228252809,0.104,0.222,1,"ESD","14"
0.00257411159539016,1.90606670333813,0.11,0.034,1,"COPS4","14"
0.00282109687562411,-1.33828079401671,0.152,0.265,1,"HIST1H1D","14"
0.00287934991098109,-0.83035947528792,0.226,0.363,1,"PACS1","14"
0.00292358820585167,1.83888492844453,0.134,0.051,1,"TMSB4Y","14"
0.00293470698133953,-0.715734001452943,0.238,0.376,1,"RBL2","14"
0.00304191857945329,-1.50904369566216,0.128,0.239,1,"AC092821.3","14"
0.00379393540011221,0.933504267423963,0.256,0.141,1,"SAR1A","14"
0.00390375464198444,0.715761063668745,0.591,0.449,1,"AC147651.1","14"
0.00392426993054822,1.44928234268662,0.14,0.056,1,"NQO2","14"
0.00393880641521286,-1.34120196499599,0.159,0.274,1,"GNA13","14"
0.00413303630872597,-0.805556189477843,0.238,0.368,1,"THOC2","14"
0.0042099909617797,-1.76841445125013,0.073,0.167,1,"ZNF75A","14"
0.00445380692947662,-1.11873132001511,0.073,0.171,1,"EXOC5","14"
0.00453523591385937,0.456867669895769,0.36,0.231,1,"SMIM27","14"
0.0049987636018648,0.950963802723939,0.104,0.034,1,"AGPS","14"
0.00522996670723613,-1.15030030164669,0.037,0.115,1,"KIF20B","14"
0.00527813046395398,1.45031764620388,0.146,0.064,1,"MSRB3","14"
0.00543724775651709,0.981935637682629,0.159,0.068,1,"SOCS3","14"
0.00551489795831509,-1.26053041957379,0.146,0.256,1,"FDPS","14"
0.00566863811389872,1.21101762853284,0.201,0.103,1,"GLTP","14"
0.00567519692254482,0.84016422467817,0.354,0.235,1,"DUSP22","14"
0.00568678141067957,-1.53653022378515,0.085,0.179,1,"VEGFB","14"
0.00586206495512432,-0.910569066394598,0.183,0.303,1,"PSMB4","14"
0.00591547493239164,-0.490361560274672,0.634,0.701,1,"JAK1","14"
0.00626194565544286,0.902535851757826,0.274,0.167,1,"PBRM1","14"
0.00644155947270106,-1.15591572142987,0.122,0.222,1,"ARHGEF6","14"
0.00652078756595632,1.23617030522034,0.134,0.056,1,"ETF1","14"
0.00691541027491873,-1.57263628708874,0.079,0.171,1,"MVP","14"
0.00713972235489467,-1.14461234772677,0.165,0.269,1,"OARD1","14"
0.00724873458751642,-1.00136386685857,0.134,0.239,1,"VDAC1","14"
0.00734623122821945,-1.44606546494511,0.043,0.12,1,"PYM1","14"
0.00753382976963787,0.953233628110514,0.25,0.145,1,"TMCC2","14"
0.00754752769351321,-1.46433975726807,0.122,0.214,1,"PLEKHA1","14"
0.00796624723989474,-0.77527572213612,0.189,0.299,1,"ASXL1","14"
0.00804820462037885,-1.4752968154987,0.073,0.158,1,"TBC1D1","14"
0.00826810735170313,0.484328676612677,0.189,0.094,1,"VAV1","14"
0.00841175396811076,-0.742264352383343,0.463,0.577,1,"MYL9","14"
0.00872960676276356,0.464942969277222,0.683,0.538,1,"ARPC4","14"
0.00888042744486871,2.39103954886735,0.104,0.038,1,"SMYD2","14"
0.00904581132640548,-1.19255085461775,0.067,0.154,1,"MBNL2","14"
0.00916262378056327,1.20432795260067,0.146,0.064,1,"TLE3","14"
0.00917345312007548,-0.793848112735109,0.28,0.393,1,"EIF1AX","14"
0.00929032063467371,-1.28223378625284,0.073,0.158,1,"NUDT1","14"
0.00933260628810184,1.05884725432583,0.232,0.137,1,"AZIN1","14"
0.00951074136297082,-0.814894378012026,0.128,0.231,1,"G3BP1","14"
0.0104425872388,1.38261551213284,0.104,0.038,1,"CARD8-AS1","14"
0.0105301869458407,-0.651703192446884,0.268,0.376,1,"CD27","14"
0.0107545678243368,1.4019777922636,0.134,0.06,1,"POMC","14"
0.0108685372270918,0.838960664105387,0.11,0.043,1,"LRIF1","14"
0.0110192710533775,-0.51015627726267,0.561,0.628,1,"TLE5","14"
0.0113959249089349,-1.01422794345264,0.104,0.197,1,"MRPL14","14"
0.0115553246284355,-0.813597218212192,0.104,0.197,1,"TEX264","14"
0.0115841582030924,-0.370955647448221,0.36,0.483,1,"NSA2","14"
0.011870151915848,-0.430644715128055,0.61,0.688,1,"TMSB10","14"
0.0119791320520617,0.368137210078575,0.518,0.38,1,"SPINT2","14"
