"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
7.61826465408705e-14,-0.462897251662256,0.079,0.106,1.86799849318214e-09,"HIST1H4E","0"
1.24468940273144e-13,0.309147100111106,0.173,0.138,3.05197841549748e-09,"AC092683.1","0"
1.4010843080657e-13,-0.39576134433203,0.113,0.143,3.43545872337709e-09,"AC103591.3","0"
4.78795941337084e-13,-0.419045716777633,0.111,0.139,1.17400764815853e-08,"COL18A1","0"
1.92118214623821e-12,-0.42745247036728,0.112,0.14,4.71073862257609e-08,"AC009831.3","0"
2.02427886447745e-12,0.333936678743779,0.139,0.11,4.96353177569871e-08,"SNHG17","0"
2.369855185648e-12,0.311239166377867,0.198,0.164,5.81088491520889e-08,"IER5","0"
3.04089762575028e-12,-0.336049883852754,0.151,0.181,7.4562809783397e-08,"PECAM1","0"
5.05124015786321e-12,0.264861667138048,0.267,0.23,1.23856408670806e-07,"FAM153CP","0"
6.77153895512608e-12,-0.456874864577198,0.079,0.104,1.66038135179691e-07,"RGS2","0"
8.89896497438048e-12,-0.25743131993511,0.314,0.346,2.18202621171809e-07,"TSPYL2","0"
1.02849884923684e-11,0.257168483270759,0.196,0.162,2.52187917832874e-07,"USP53","0"
4.2930296286219e-10,-0.26074264521377,0.237,0.265,1.05265086493809e-05,"AL121944.1","0"
5.25773057781573e-10,-0.41485413149664,0.079,0.1,1.28919553768042e-05,"BX284668.5","0"
3.56327161438312e-09,-0.344111184667433,0.095,0.117,8.73714199846741e-05,"NUDT2","0"
6.55431452371657e-09,0.275991346529764,0.119,0.096,0.00016071179212153,"CDK10","0"
1.09696588588367e-08,-0.250496700130697,0.224,0.248,0.000268976035218676,"SYAP1","0"
2.89468372446158e-08,-0.350800079492559,0.123,0.144,0.000709776449237979,"SMAD7","0"
6.1132415887574e-08,-0.271832803247703,0.116,0.138,0.00149896683756332,"CENPB","0"
1.20894472850014e-07,0.28129017193405,0.123,0.102,0.00296433247428236,"NSF","0"
1.73377604493098e-07,0.273059448887615,0.108,0.089,0.00425121886217076,"MID1IP1","0"
