"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.20011020039643,0.262,0.02,0,"10","CTLA4"
0,2.31192945631913,0.306,0.077,0,"10","LINC00402"
0,2.19846085369138,0.301,0.093,0,"10","STAM"
0,2.40915547064286,0.253,0.061,0,"10","GCNT4"
0,6.22561705036476,0.974,0.042,0,"11","SMIM25"
0,8.57530484720438,0.925,0.015,0,"11","CDKN1C"
0,7.31868081280566,0.525,0.006,0,"11","CKB"
0,8.13408972086117,0.476,0.002,0,"11","AC104809.2"
0,6.63032055182182,0.411,0.006,0,"11","MS4A4A"
0,11.7930167894576,0.312,0.001,0,"11","LYPD2"
0,10.5905585221136,0.293,0,0,"11","LINC02345"
0,8.6425013936111,0.271,0.001,0,"11","VMO1"
0,7.24867860414253,0.252,0.002,0,"11","CASP5"
0,8.26265631489813,0.25,0.002,0,"11","C1QA"
0,11.4496714277937,0.642,0.001,0,"12","LRRC26"
0,11.7864447196658,0.641,0.001,0,"12","SCT"
0,11.0534634289452,0.509,0,0,"12","EPHB1"
0,11.9764309591153,0.391,0,0,"12","AC097375.1"
0,12.1179308224104,0.369,0,0,"12","EPHA2"
0,9.65482076397843,0.35,0,0,"12","ASIP"
0,10.1216133413325,0.322,0,0,"12","P3H2"
0,10.795726028017,0.316,0,0,"12","SHD"
0,9.55963320912326,0.314,0,0,"12","SLC12A3"
0,11.6757179145714,0.268,0,0,"12","KCNK10"
0,1.74835683196827,0.892,0.154,0,"13","LINC00926"
0,1.79059020671851,0.829,0.138,0,"13","CD22"
0,1.70361590418971,0.708,0.122,0,"13","PAX5"
0,1.84302385505005,0.581,0.091,0,"13","FCRL2"
1.13498364509106e-290,1.71437964067663,0.586,0.102,2.78297989776328e-286,"13","ADAM28"
8.1922476508254e-276,1.76544106967376,0.571,0.101,2.00873912398239e-271,"13","CD40"
4.65793597031602e-270,1.82038605221098,0.493,0.081,1.14212589992149e-265,"13","FCRL5"
1.96966287890035e-228,1.7014155359875,0.455,0.077,4.82961337906365e-224,"13","CD19"
2.51385174337505e-225,1.67796947513231,0.473,0.085,6.16396447475562e-221,"13","COBLL1"
6.30583974398164e-150,1.75434012378797,0.339,0.064,1.5461919052243e-145,"13","RASGRP3"
0,10.3275155365281,0.701,0.007,0,"14","GP9"
0,10.2026229231811,0.641,0.005,0,"14","CMTM5"
0,10.6317961522338,0.606,0.005,0,"14","TMEM40"
0,10.2703544803896,0.472,0.003,0,"14","CLEC1B"
0,9.82260374666815,0.42,0.003,0,"14","PDZK1IP1"
0,9.85125710276467,0.417,0.003,0,"14","ARHGAP6"
0,10.5384118176511,0.379,0.002,0,"14","LY6G6F"
0,9.93446867952516,0.349,0.002,0,"14","AC090409.1"
0,9.8165181564651,0.324,0.002,0,"14","TAL1"
0,9.76176290388163,0.291,0.002,0,"14","BMP6"
3.70070664062971e-33,3.6022157520191,0.272,0.092,9.07413268282406e-29,"15","MIAT"
3.49283543407471e-27,2.42131436868589,0.557,0.427,8.56443248435119e-23,"15","XIST"
8.40737153169992e-18,3.0511533127487,0.279,0.141,2.06148749957282e-13,"15","GOLGA8A"
1.0572324203682e-13,2.92384539996644,0.279,0.162,2.59233389474283e-09,"15","ANKRD36"
1.84684130204778e-12,3.25706400496944,0.329,0.222,4.52845487262115e-08,"15","TTN"
2.92192937883974e-10,2.68930128224201,0.289,0.194,7.16457083691505e-06,"15","ANKRD36C"
7.01311491820547e-10,2.70241280515502,0.252,0.158,1.71961577794398e-05,"15","AC092683.1"
4.44471258732113e-08,2.41815758822203,0.272,0.195,0.00108984352641114,"15","AC016831.5"
2.16703469644053e-07,2.51601971196372,0.268,0.199,0.00531356907567217,"15","GOLGA8B"
8.15095466541918e-06,3.26375027635228,0.443,0.495,0.199861408396078,"15","PLCG2"
0,6.31397686628147,0.627,0.031,0,"16","SPINK2"
0,9.45416210410144,0.343,0.001,0,"16","CD34"
0,6.73712720837314,0.343,0.004,0,"16","EGFL7"
0,5.76437091913036,0.328,0.006,0,"16","PRSS57"
0,8.3994794954496,0.321,0.001,0,"16","KIT"
0,7.72381371158805,0.306,0.002,0,"16","SMIM24"
0,8.3598635953545,0.299,0.002,0,"16","HOXA9"
0,7.20190227262385,0.269,0.003,0,"16","TTLL10"
0,9.66227684273192,0.261,0,0,"16","NPR3"
5.60258350840441e-231,5.71620355866336,0.276,0.009,1.37375347626076e-226,"16","CLNK"
