"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
3.27783989691585e-182,-1.21576601798907,0.298,0.618,8.03726342723767e-178,"XIST","4"
3.18903331028274e-174,1.17086804422671,0.612,0.31,7.81950967681327e-170,"RPS4Y1","4"
5.1668919740282e-150,-1.46557579386483,0.271,0.524,1.26692191203172e-145,"FAM118A","4"
1.19320909710753e-88,-0.551640119856975,0.977,0.988,2.92574870610767e-84,"NFKBIA","4"
1.3208042220124e-86,0.46877515849115,0.896,0.819,3.2386119523744e-82,"SNHG5","4"
7.18945543506782e-86,0.543804294533438,0.875,0.767,1.76285447267863e-81,"CD52","4"
7.56357589354912e-72,-0.798737432929694,0.584,0.731,1.85458880909824e-67,"IER3","4"
5.60795743328391e-69,-0.542514574500017,0.738,0.835,1.37507116264122e-64,"TNFAIP3","4"
2.4263049212868e-68,1.58981244190495,0.311,0.161,5.94929966699524e-64,"FOLR3","4"
1.06911352941755e-67,-0.775435239776886,0.456,0.609,2.62146637413182e-63,"SHTN1","4"
2.8948922554592e-65,0.765276420596417,0.435,0.249,7.09827581038595e-61,"DDX3Y","4"
3.84277843234077e-57,-1.36422698378157,0.166,0.307,9.42249271609957e-53,"HLA-DQA2","4"
1.92574736492702e-56,-1.75250761164761,0.153,0.291,4.72193253880105e-52,"EREG","4"
8.9109494806376e-55,1.31255539961064,0.245,0.118,2.18496481265234e-50,"MTRNR2L1","4"
1.18258767081482e-51,-0.704775979393466,0.425,0.571,2.89970496883794e-47,"GABPB1-AS1","4"
1.04990283070328e-49,-0.926847277017516,0.289,0.416,2.57436174088445e-45,"IGKC","4"
9.57273303242153e-47,-0.377518155866876,0.814,0.889,2.34723413954976e-42,"CLEC12A","4"
4.43807943313797e-44,-0.523178546175557,0.811,0.854,1.08821707700543e-39,"NFKBIZ","4"
1.37074933261378e-39,-0.460391107283724,0.908,0.93,3.36107736356899e-35,"SOD2","4"
6.03529630794158e-39,0.991935438369316,0.229,0.121,1.47985465470727e-34,"UTY","4"
6.24648808312028e-38,-1.52202497785968,0.217,0.329,1.53163887798109e-33,"GBP1","4"
4.61709735611088e-36,-0.695592030415947,0.351,0.471,1.13211227171839e-31,"IFITM3","4"
5.29575233027666e-36,-0.369488013818489,0.969,0.967,1.29851847138384e-31,"ZFP36L2","4"
1.07923979456541e-35,-0.387397594558501,0.917,0.936,2.64629597627439e-31,"PPP1R15A","4"
9.38985507229575e-35,0.554878712316623,0.735,0.652,2.30239246372692e-30,"SGK1","4"
4.57074624343134e-34,-1.65336913365929,0.084,0.17,1.12074697888937e-29,"AZIN1-AS1","4"
1.75977740575128e-33,-1.27836570112154,0.045,0.12,4.31497419890213e-29,"AC004556.3","4"
3.78877308991149e-32,-0.851399429789143,0.172,0.275,9.29007161646297e-28,"JUP","4"
7.04124432313661e-32,-0.565311737678707,0.284,0.405,1.7265131080331e-27,"PDE4B","4"
3.02328658686388e-31,0.695683774090526,0.391,0.281,7.41309871099024e-27,"NQO2","4"
9.57138447718647e-31,1.09175956399045,0.16,0.079,2.34690347380612e-26,"PRKY","4"
5.81100989258056e-30,-0.465955971279695,0.872,0.906,1.42485962566075e-25,"IRF1","4"
3.29892427445595e-29,0.262914505817084,1,1,8.088962320966e-25,"MT-ND3","4"
5.90769398490957e-29,0.252375774634858,0.882,0.858,1.44856656509983e-24,"TUBA1A","4"
1.61694552020275e-28,-1.51914458465724,0.052,0.12,3.96475041553713e-24,"CCL4","4"
4.7073691932441e-28,-0.417947219950855,0.53,0.624,1.15424692618345e-23,"SNHG8","4"
4.72113396533795e-28,0.266745066537301,0.901,0.878,1.15762204830086e-23,"RPS10","4"
9.43593220459999e-27,0.817302787100823,0.191,0.108,2.31369057656792e-22,"EIF1AY","4"
1.94524806761286e-24,-0.366205576461105,0.697,0.76,4.76974826178673e-20,"PSMB9","4"
1.96336148548684e-24,-0.963564298669303,0.359,0.441,4.81416236241374e-20,"CCL3","4"
2.02741168391169e-24,0.268862806812848,0.884,0.856,4.97121344895147e-20,"STXBP2","4"
3.32942201787652e-24,0.388815633613878,0.658,0.568,8.16374278783323e-20,"CDA","4"
4.09702990782639e-24,-0.615202033142246,0.264,0.364,1.00459173339903e-19,"MX1","4"
9.39114944790058e-23,-0.355388044149925,0.632,0.713,2.30270984462522e-18,"PPP1R15B","4"
1.72837440720781e-22,-0.352711345216655,0.592,0.678,4.23797404647356e-18,"PLCG2","4"
4.37249993321588e-22,0.378754759093288,0.752,0.694,1.07213698362453e-17,"HLA-DQB1","4"
1.33147359260505e-21,-0.326127512676937,0.603,0.682,3.26477324906757e-17,"SCO2","4"
1.68413718473715e-21,-0.627755356338553,0.561,0.629,4.12950437697548e-17,"IL1B","4"
1.85899584386454e-21,-1.36001922149546,0.14,0.214,4.55825780915586e-17,"GBP5","4"
4.95058693307223e-20,-0.286305632272819,0.837,0.875,1.21388391598931e-15,"RNF213","4"
9.64688967804564e-20,0.280917779399691,0.585,0.476,2.36541734905679e-15,"TMEM176B","4"
3.66948589700569e-19,-0.306659267538939,0.512,0.6,8.99757941945795e-15,"GIMAP7","4"
7.87575959152616e-19,-0.438683634700006,0.338,0.428,1.93113625184222e-14,"GIMAP8","4"
1.03181926015749e-17,-0.695306380778826,0.155,0.227,2.53002082590617e-13,"Z93930.2","4"
1.09973811550537e-17,-0.708618574100938,0.233,0.311,2.69655785921917e-13,"HBEGF","4"
1.65184593598565e-17,-0.822690747542622,0.102,0.166,4.05032623503682e-13,"CTDSPL","4"
2.93228692091723e-17,0.405804124792909,0.527,0.442,7.18996753008904e-13,"CYP1B1","4"
3.76430432057804e-17,-0.424511962859221,0.293,0.38,9.23007419405736e-13,"HIST2H2AC","4"
3.91688442840434e-17,0.35138818160955,0.592,0.515,9.60420061844745e-13,"LILRA5","4"
2.64077012242588e-16,-0.661949280956306,0.146,0.213,6.47516834018825e-12,"CCL3L1","4"
3.15878587793547e-16,-0.313545731764352,0.5,0.571,7.74534297269778e-12,"GAA","4"
3.42336306608732e-16,-0.46617332466572,0.333,0.409,8.39408623804612e-12,"WASHC2C","4"
4.66270320974053e-16,-0.389195929158028,0.627,0.683,1.14329482702838e-11,"NLRP3","4"
7.06259336192298e-16,0.349660128863845,0.714,0.658,1.73174789234351e-11,"MAFB","4"
1.41703073663578e-15,-0.33858116664416,0.479,0.552,3.47455936623093e-11,"XBP1","4"
1.63102436335529e-15,0.887257407607842,0.114,0.065,3.99927173894718e-11,"KDM5D","4"
1.92232860607749e-15,-0.507270402026004,0.371,0.441,4.713549742102e-11,"CCNH","4"
2.033589389461e-15,-0.362908485966947,0.443,0.517,4.98636118295837e-11,"GABPB1-IT1","4"
3.12936389184369e-15,-0.269018073593775,0.965,0.969,7.67320026280072e-11,"IER2","4"
4.88861472999118e-15,-0.376179720356307,0.392,0.466,1.19868833179384e-10,"ISG15","4"
5.33271033226303e-15,-0.639588829636367,0.166,0.232,1.30758057347089e-10,"CCDC144A","4"
5.8703665469202e-15,-0.330601444729705,0.541,0.604,1.43941387730483e-10,"ADGRE2","4"
7.08819273484394e-15,-0.577899262928129,0.096,0.152,1.73802485858373e-10,"IGHM","4"
7.90290064861284e-15,-0.321238064277661,0.727,0.762,1.93779123903987e-10,"PSME2","4"
8.30357483190105e-15,0.355106566021906,0.52,0.446,2.03603654878214e-10,"NBPF19","4"
8.90426105623508e-15,0.306064028094308,0.562,0.494,2.18332481098884e-10,"KRT10","4"
9.20008775686912e-15,-0.727310367574742,0.23,0.295,2.25586151798431e-10,"GBP4","4"
1.03262230017366e-14,-0.333950459534441,0.916,0.929,2.53198988002581e-10,"JUN","4"
1.13113734640321e-14,-0.265913203638436,0.591,0.66,2.77354877338066e-10,"SLC31A2","4"
2.27798228955892e-14,0.415494180809947,0.525,0.467,5.58561257399847e-10,"CCR1","4"
3.06857753418151e-14,-0.375274532298272,0.313,0.39,7.52415211381307e-10,"IRF7","4"
3.54336926229831e-14,-0.350590497623713,0.482,0.551,8.68834143115545e-10,"XAF1","4"
4.69344489518007e-14,-0.69755291300478,0.117,0.174,1.15083268829815e-09,"LINC02432","4"
5.54041015458808e-14,-0.363997086512704,0.25,0.327,1.358508569905e-09,"ARPIN","4"
8.56124353170917e-14,-0.737431294693002,0.08,0.13,2.09921691397509e-09,"MLLT11","4"
8.6293577654123e-14,-0.32794060474877,0.461,0.528,2.1159185240791e-09,"SCLT1","4"
1.01355284181822e-13,-0.752680243867359,0.109,0.165,2.48523156813828e-09,"HIST1H1E","4"
2.19251389234666e-13,-0.259305803133987,0.697,0.741,5.37604406403401e-09,"MS4A7","4"
2.30052122762299e-13,-0.344064053951886,0.657,0.698,5.64087805013158e-09,"PARP14","4"
4.21599727899633e-13,-0.589377910723393,0.131,0.189,1.0337625328099e-08,"IGHA1","4"
4.60690792036809e-13,-0.25376404293783,0.736,0.776,1.12961382207426e-08,"DNAJA1","4"
4.6094843007706e-13,0.623837841296247,0.129,0.081,1.13024555054895e-08,"EPHA1-AS1","4"
5.52410314727962e-13,0.313055478222777,0.461,0.386,1.35451009171296e-08,"BASP1","4"
1.16043805438005e-12,0.343131908681215,0.407,0.337,2.84539410933988e-08,"MRPL23","4"
1.32261945400772e-12,-0.320731469376863,0.488,0.556,3.24306290122694e-08,"SMC1A","4"
1.39156059058862e-12,-0.314195282630754,0.378,0.448,3.41210656812329e-08,"AC245297.3","4"
1.47612686976173e-12,-0.413825999316663,0.21,0.277,3.61946308465576e-08,"SLC1A5","4"
1.59340797431051e-12,-0.374741254709919,0.592,0.638,3.90703635300937e-08,"STAT1","4"
1.79116663039769e-12,-0.515508661472873,0.262,0.325,4.39194057773514e-08,"EPSTI1","4"
1.84747887603092e-12,-0.568007360280068,0.116,0.171,4.53001820402781e-08,"GIMAP5","4"
2.55742625814858e-12,-0.270021274113423,0.567,0.63,6.27080918498031e-08,"REX1BD","4"
3.05819582388262e-12,-0.366679085884803,0.329,0.4,7.49869616016017e-08,"ATF3","4"
3.18471866792893e-12,0.266851567558555,0.57,0.499,7.80893017376175e-08,"EGR1","4"
