"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
5.10393291741843e-13,0.979178528485085,0.65,0.343,1.251484351351e-08,"RPS4Y1","13"
5.59191576911186e-13,-1.13665663947336,0.329,0.638,1.37113774658623e-08,"XIST","13"
1.47666709880673e-12,1.33628643409116,0.519,0.251,3.6207877262741e-08,"DDX3Y","13"
8.32741877134541e-08,1.036145654773,0.387,0.195,0.00204188308273389,"USP9Y","13"
8.98294841920952e-08,0.356334195286475,0.975,0.9,0.00220261895239017,"SNHG5","13"
2.56746764589623e-07,1.06414100462852,0.395,0.201,0.00629543066773757,"UTY","13"
4.29484344693145e-07,1.06677704671732,0.374,0.184,0.0105309561318759,"EIF1AY","13"
9.57164024391577e-07,1.10795194048168,0.333,0.164,0.0234696618780815,"PRKY","13"
2.60292607444778e-06,1.98134237956568,0.156,0.045,0.0638237473454595,"SH2D1B","13"
4.57120461583485e-06,1.25443166057783,0.23,0.092,0.112085937180271,"KDM5D","13"
4.02742599125043e-05,1.07125429299771,0.198,0.081,0.987524853054605,"NQO2","13"
6.02271580862353e-05,1.94178300310776,0.239,0.12,1,"ID3","13"
9.50417249648439e-05,1.70634526568418,0.123,0.039,1,"TTTY14","13"
0.000114423695295376,-0.346258885616087,0.909,0.953,1,"DDX3X","13"
0.000122209022779604,-1.54491222046834,0.049,0.148,1,"PHTF1","13"
0.000161016006568749,-0.28816334189308,0.988,0.986,1,"CCNL1","13"
0.000202182890012446,0.971849492713515,0.354,0.226,1,"AL662844.4","13"
0.000225988812044396,-0.390596549837176,0.877,0.911,1,"SNHG8","13"
0.000301711836371581,-1.19664703281514,0.107,0.22,1,"SULF2","13"
0.000346348147168072,0.634520938040318,0.387,0.242,1,"CYB5A","13"
0.000351568925405171,-0.293889367896873,0.856,0.891,1,"TSTD1","13"
0.000371537055692594,0.575027472135644,0.634,0.465,1,"KLRK1","13"
0.00041682413231566,1.03026562434895,0.214,0.109,1,"ZFY","13"
0.000462345624254331,0.65906620326874,0.383,0.256,1,"GBP1","13"
0.000497613320276366,-0.357493638801522,0.844,0.872,1,"SAT1","13"
0.000619973739154263,1.59194900609222,0.169,0.081,1,"SYNGR1","13"
0.000659069796463901,1.51237938769525,0.115,0.042,1,"P2RY14","13"
0.000671833505987653,0.721874785375057,0.436,0.32,1,"MATK","13"
0.000680188569514338,0.730698091146721,0.379,0.248,1,"UBR1","13"
0.000749861172343467,0.376376665618716,0.77,0.666,1,"HNRNPF","13"
0.000761236962214234,-0.282107032723557,0.872,0.891,1,"EIF2S3","13"
0.00077607331008479,0.82900789384881,0.309,0.189,1,"CNOT3","13"
0.000855226679247373,0.650058233747671,0.395,0.267,1,"SDF2","13"
0.000881164876375709,1.21096322788743,0.132,0.053,1,"GTF2H4","13"
0.000990698826672609,0.930409863089254,0.276,0.167,1,"FCER1G","13"
0.00105617562370156,0.695779550492854,0.296,0.175,1,"C21orf91","13"
0.00112042207753867,-0.502394699674516,0.56,0.63,1,"DNTTIP2","13"
0.00115413473580943,-0.27098603741479,0.885,0.916,1,"RNASET2","13"
0.00115806773825473,-0.480869703800921,0.498,0.593,1,"ZFAND5","13"
0.0011700569327295,0.993030444432623,0.152,0.07,1,"IGFBP7","13"
0.00126491449987889,1.25865900799949,0.189,0.1,1,"PLEKHF1","13"
0.00136628248639703,-0.29738227100032,0.909,0.922,1,"TRA2B","13"
0.00157701705925244,0.994918146177765,0.202,0.109,1,"TTC9C","13"
0.00163791025268421,1.12790020794072,0.206,0.114,1,"PRSS23","13"
0.00169741300347733,1.37029952438477,0.111,0.045,1,"AC244213.1","13"
0.00172452527755543,0.685935575671537,0.152,0.072,1,"PHKA2","13"
0.00172524033736825,-1.10614383370269,0.239,0.337,1,"FAM118A","13"
0.00173845478810504,1.27139733768375,0.128,0.056,1,"SLC25A25-AS1","13"
0.00186533202578033,-0.653025746892644,0.313,0.418,1,"MRPS10","13"
0.00199012586030508,1.24727869088746,0.14,0.064,1,"DTX2","13"
0.00209650314868776,-0.488793882789137,0.362,0.49,1,"HIST1H1E","13"
0.0021757937165707,0.809094550777325,0.28,0.178,1,"ZC3H7B","13"
0.0022277709777995,0.611473553246695,0.35,0.228,1,"HMCES","13"
0.00232985194586062,0.85827496875841,0.3,0.192,1,"PNP","13"
0.00233695881335502,0.941857150419402,0.132,0.058,1,"TRUB1","13"
0.00236276136027979,1.32566963689848,0.107,0.042,1,"SARM1","13"
0.00237614768514275,1.44678716132727,0.115,0.05,1,"AC004847.1","13"
0.00245880485154169,0.357749549571301,0.708,0.602,1,"RBBP4","13"
0.00261845558486555,-0.446274602877386,0.42,0.518,1,"AP3B1","13"
0.00261892503433513,1.02585128500736,0.14,0.067,1,"DOHH","13"
0.00262866353493826,0.522693865882725,0.35,0.228,1,"CBWD5","13"
0.00264188219613319,-0.930052651513423,0.14,0.231,1,"CDC37L1","13"
0.00264196925164284,-0.729838160283717,0.226,0.326,1,"DCAF13","13"
0.00266566392935169,0.695889325479003,0.267,0.164,1,"METTL14","13"
0.0027653902332503,0.531938715873321,0.284,0.173,1,"CHMP6","13"
0.00282548237231585,0.829323841473685,0.222,0.128,1,"MTOR","13"
0.00286994290827973,0.568314785823749,0.28,0.184,1,"SLC15A4","13"
0.00290036302948885,-0.312538653203049,0.716,0.791,1,"PIK3IP1","13"
0.00300451957304433,0.692553178243307,0.218,0.123,1,"PGS1","13"
0.00310095595555077,0.437978967775649,0.547,0.407,1,"EIF2AK1","13"
0.00314561942136305,-0.787822115894647,0.037,0.103,1,"AC025263.1","13"
0.00316859487217672,0.643891776836605,0.313,0.203,1,"CREB3L2","13"
0.00319320568588898,-0.277020224317695,0.807,0.858,1,"DDX46","13"
0.00329962011832703,-0.619766187239164,0.317,0.426,1,"TARSL2","13"
0.00339628519823085,0.462971699650353,0.412,0.295,1,"NEDD9","13"
0.00343708916603769,0.623959482312611,0.358,0.248,1,"LGALS1","13"
0.00346213078409895,1.17804394395411,0.169,0.092,1,"PLEKHG3","13"
0.00365597855482543,1.03325566405141,0.111,0.047,1,"LRWD1","13"
0.00376132732956196,1.15409385847644,0.165,0.086,1,"HOXB2","13"
0.00378800335307084,0.879545393137201,0.144,0.07,1,"ZNF528-AS1","13"
0.00380594495607059,0.546546277063552,0.412,0.295,1,"CLTC","13"
0.00386587312135767,-0.347717242950314,0.593,0.685,1,"ASXL1","13"
0.00412691232526896,0.688633696738038,0.263,0.164,1,"AK6","13"
0.00424988376965369,-0.748280576763445,0.288,0.384,1,"AC253572.2","13"
0.00444424010616037,-0.573758725870944,0.366,0.457,1,"AGFG1","13"
0.00445610788935775,0.35664128697212,0.564,0.44,1,"HERC4","13"
0.00471801387342023,0.631886051774506,0.403,0.292,1,"GOLGA8B","13"
0.00482687846484219,-0.253091926532203,0.819,0.872,1,"NDUFB11","13"
0.00489116249135035,0.832818517851629,0.16,0.084,1,"AC012645.3","13"
0.00495280523024059,1.02226616148353,0.144,0.072,1,"TKFC","13"
0.00495611959319348,0.925911773067426,0.185,0.106,1,"FBXO4","13"
0.00502047823271579,0.655205416672902,0.259,0.164,1,"YBEY","13"
0.00503294814716279,-0.54836048758579,0.222,0.32,1,"TRAF3","13"
0.00507306161349746,-0.480984315237126,0.37,0.471,1,"PABPC4","13"
0.00511658160310153,0.650158044019248,0.3,0.198,1,"ZMYM4","13"
0.00515688035796758,0.893601691170462,0.218,0.136,1,"NEU1","13"
0.0051975831062588,-0.754379515579391,0.132,0.223,1,"FBXO32","13"
0.00522706267599035,0.947991185942838,0.181,0.1,1,"CTBP2","13"
0.00543595899182398,1.15995876375276,0.119,0.056,1,"FNIP2","13"
0.00579797681771882,0.340718066907407,0.605,0.474,1,"NUTM2A-AS1","13"
0.00598014021093672,0.861330008356163,0.165,0.089,1,"SPRYD7","13"
0.00599485345359239,0.459108403106829,0.235,0.145,1,"DEPDC5","13"
0.00599927083527992,0.91397016531849,0.14,0.072,1,"PISD","13"
0.00602870205877104,0.673603106539987,0.218,0.128,1,"CPD","13"
0.00603951515383155,0.577183047944193,0.366,0.256,1,"DENND6A","13"
0.00610508289547461,-1.1520323764172,0.115,0.187,1,"CCAR2","13"
0.00613541932688581,-0.756610169766074,0.144,0.231,1,"CPSF3","13"
0.00615402187769765,-0.649346621507347,0.28,0.37,1,"PELI1","13"
0.00624855180718191,0.393906499729747,0.671,0.571,1,"BANF1","13"
0.00637700090577919,-0.406458055611074,0.416,0.499,1,"CIAO1","13"
0.00644434193625742,0.564674548817036,0.321,0.214,1,"VPS26C","13"
