"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.60829308759203e-26,0.266886585873876,0.105,0.086,1.37515346507757e-21,"ZNF677"
2.64921360053869e-25,-0.290768701486257,0.135,0.157,6.49587174852087e-21,"KDM6A"
1.97483753878327e-23,-0.422731491011059,0.15,0.171,4.84230164509658e-19,"CD83"
6.96317256983585e-23,0.277338155425622,0.203,0.181,1.70736991412375e-18,"CEP78"
4.377805042789e-22,-0.250312404517227,0.115,0.134,1.07343779649186e-17,"CCDC144A"
1.13395324548318e-21,-0.272304886739268,0.099,0.117,2.78045335792477e-17,"NUDT2"
3.00798457098661e-21,0.263214656385366,0.108,0.09,7.37557816805917e-17,"SBK1"
4.47639159439345e-19,-0.266598465111149,0.097,0.113,1.09761121894527e-14,"AC087239.1"
2.97749221226432e-17,0.252355642422014,0.244,0.223,7.30081090447212e-13,"SOCS3"
5.22935191571751e-17,0.285581970377023,0.118,0.102,1.28223708973393e-12,"MVD"
6.13694203703165e-17,0.250911234900602,0.111,0.095,1.50477818748016e-12,"CAPN15"
8.81914779568003e-17,-0.325661734531659,0.369,0.387,2.16245503950074e-12,"SOD2"
7.09811804930078e-16,0.28795171609209,0.119,0.104,1.74045854568855e-11,"PRDM1"
3.00913289864827e-15,0.423175044462605,0.118,0.103,7.37839386748556e-11,"SGK1"
1.28248932933067e-14,0.274965495124522,0.117,0.103,3.14466383551881e-10,"PTGDR"
1.14699606994828e-13,0.313049193296968,0.114,0.101,2.81243436351319e-09,"ADGRG1"
3.62877316755501e-13,-0.261025161686764,0.123,0.137,8.89775180684489e-09,"SCO2"
1.13081531183681e-12,-0.25376689200741,0.09,0.102,2.77275914462385e-08,"FBLN5"
3.13269806693126e-11,-0.253334222470055,0.122,0.135,7.68137566011545e-07,"AL021155.5"
8.81529694952736e-10,0.267874434151078,0.149,0.137,2.16151081202411e-05,"FGFBP2"
9.58475968485584e-09,0.278463808439378,0.15,0.139,0.000235018307472665,"CX3CR1"
1.16075178759452e-06,-0.287088304667909,0.204,0.213,0.0284616338318175,"GBP1"
1.9103426699414e-06,-0.28667889897289,0.094,0.102,0.0468416022669632,"MS4A7"
3.07582335391452e-05,-0.299716786850546,0.135,0.143,0.754191886379841,"WARS"
5.83454496313006e-05,-0.453812497795425,0.095,0.101,1,"HLA-DQA2"
