"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
5.46567564450282e-232,-1.29118994972149,0.281,0.653,1.34018366803209e-227,"XIST","5"
8.71787380206486e-214,1.34600616462258,0.611,0.25,2.1376226562663e-209,"RPS4Y1","5"
1.5224225346418e-90,0.334778009602349,1,1,3.73298005494169e-86,"MT-ND3","5"
5.38015709275715e-85,1.03373247302947,0.371,0.172,1.31921451914405e-80,"DDX3Y","5"
4.10503375125169e-80,-1.09668874229187,0.203,0.391,1.00655427580691e-75,"MYOM2","5"
1.83386163131885e-79,1.62392709384201,0.241,0.084,4.49662871999383e-75,"PRKY","5"
7.59563380499707e-79,-0.371274246919268,0.98,0.987,1.86244940898528e-74,"GNLY","5"
1.26502045815281e-58,-0.3649126664567,0.947,0.967,3.1018301633907e-54,"RPS26","5"
1.34422944508094e-58,1.37910596850209,0.224,0.093,3.29605059933847e-54,"USP9Y","5"
1.71078001148149e-58,1.4051038221062,0.21,0.082,4.19483258815262e-54,"UTY","5"
1.64965264382491e-52,-0.901454462429438,0.254,0.401,4.04494828265868e-48,"LAIR2","5"
5.77434238852252e-50,-1.47891432184513,0.15,0.275,1.41586875366572e-45,"IGKC","5"
8.95050838818553e-48,-1.09882691278032,0.24,0.375,2.19466465678309e-43,"AC007952.4","5"
1.30963387362596e-44,-0.657949084694716,0.832,0.878,3.21122225813086e-40,"JUN","5"
6.68592783181317e-44,1.67567019308481,0.498,0.407,1.63938950436059e-39,"MTRNR2L8","5"
1.13990871087882e-43,-0.36769154871233,0.838,0.891,2.79505615907486e-39,"DDX3X","5"
1.01113356269985e-42,0.869135510932954,0.318,0.186,2.47929949574003e-38,"SYNGR1","5"
5.96670473350573e-41,1.46487512448058,0.149,0.058,1.46303600065561e-36,"EIF1AY","5"
4.06197897563484e-35,-1.1725370817882,0.073,0.159,9.95997244825663e-31,"FAM118A","5"
4.14150200406807e-33,-0.573949345663541,0.54,0.637,1.01549629139749e-28,"TNFAIP3","5"
5.61011139081916e-33,-0.306557700973688,0.834,0.885,1.37559931302886e-28,"TSC22D3","5"
5.54442506220214e-30,-0.551895086985625,0.363,0.477,1.35949302525196e-25,"GABPB1-AS1","5"
1.19793759469554e-29,-1.10660342669879,0.169,0.266,2.93734298219347e-25,"AC253572.2","5"
1.69432514914569e-29,0.36106318047777,0.746,0.66,4.15448526570524e-25,"SNHG5","5"
7.71827241130242e-27,-1.07875993300295,0.127,0.212,1.89252039525135e-22,"AC245014.3","5"
3.39351280097579e-26,-1.18479989467613,0.071,0.142,8.32089338799264e-22,"AL360012.1","5"
6.37714654470977e-26,1.10345071299152,0.143,0.07,1.56367633276284e-21,"LGALS9B","5"
1.31269600461621e-25,-0.587881850963904,0.253,0.355,3.21873060331895e-21,"MAFF","5"
2.27016670443077e-24,-0.303607269616363,0.841,0.87,5.56644875926424e-20,"DUSP1","5"
6.40178257791231e-24,-0.577739630888694,0.524,0.595,1.5697170881041e-19,"AC020916.1","5"
1.57571201621892e-23,-0.273801917065926,0.851,0.885,3.86364586376879e-19,"CCNL1","5"
6.17286397418352e-23,-0.263817529075713,0.972,0.982,1.5135862464698e-18,"JUND","5"
1.74975019259272e-22,-0.589073352938299,0.332,0.426,4.29038747223734e-18,"HIST1H1E","5"
2.22024744666741e-22,-1.07587003273585,0.076,0.141,5.44404673922849e-18,"KIR2DL1","5"
2.90589095141844e-22,0.433570668106593,0.534,0.451,7.12524461287802e-18,"BIN1","5"
3.0311589773083e-22,-0.409375692806317,0.687,0.744,7.43240181235996e-18,"NFKBIA","5"
4.89496783566408e-22,0.262839375292728,0.774,0.667,1.20024611330483e-17,"CD52","5"
4.82846148493321e-21,-0.364575887105597,0.856,0.874,1.18393875610562e-16,"IER2","5"
8.00518753772288e-21,-0.429154663340602,0.376,0.475,1.96287198424965e-16,"ITGAX","5"
1.1750143734213e-20,1.1983816052657,0.104,0.049,2.88113524362903e-16,"ZFY","5"
5.03798463278538e-20,-0.58337030890237,0.283,0.369,1.23531383195897e-15,"HIST1H1C","5"
7.21290424953278e-20,-0.463266192768675,0.438,0.523,1.76860412198544e-15,"PPP1R10","5"
1.56570701924919e-19,-0.414026891406914,0.609,0.669,3.83911361119902e-15,"CD69","5"
4.9698897139161e-19,-0.44974425761471,0.391,0.475,1.21861695785223e-14,"ILF3-DT","5"
9.34995592418219e-19,-0.439769930538198,0.469,0.549,2.29260919260947e-14,"DUSP2","5"
1.32164367985702e-18,-0.769609427046166,0.104,0.17,3.24067030300941e-14,"FGL2","5"
1.86727355983735e-18,-0.317556365616979,0.663,0.717,4.57855476872118e-14,"MCL1","5"
2.4915995492402e-18,-0.265697956847263,0.682,0.751,6.10940209473698e-14,"BTN3A2","5"
5.70878131667877e-18,-0.496270578829413,0.393,0.475,1.39979317884963e-13,"HIST1H1D","5"
8.10299377737455e-18,0.520283089939767,0.263,0.184,1.98685407421224e-13,"THEMIS2","5"
1.29426490342742e-17,-1.0223314409836,0.104,0.165,3.17353754320404e-13,"AL021155.5","5"
6.15217025072011e-17,-0.351539882337163,0.658,0.716,1.50851214547657e-12,"PPP1R15A","5"
6.33421023170577e-17,-0.372052901243404,0.356,0.449,1.55314834881425e-12,"XCL2","5"
1.62310395606804e-16,-0.336836211305122,0.744,0.777,3.97985090027883e-12,"ZFP36","5"
2.54441886312034e-16,-0.407119910255804,0.414,0.494,6.23891505237109e-12,"CD38","5"
7.44035394085592e-16,0.454375964369402,0.388,0.307,1.82437478629787e-11,"PLEKHF1","5"
1.9738457032113e-15,-0.265517345697879,0.868,0.894,4.83986966427411e-11,"JUNB","5"
1.23707608299884e-13,-0.621530423332597,0.194,0.256,3.03331055551316e-09,"TMEM107","5"
1.88184635963728e-13,0.393993823729573,0.511,0.438,4.61428727383061e-09,"CXCR4","5"
5.52513063998374e-13,-0.392105473239033,0.315,0.385,1.35476203292401e-08,"KMT2E-AS1","5"
7.16173008836607e-13,-0.384202204395132,0.46,0.523,1.75605621766736e-08,"IER5","5"
8.45356537119399e-13,-0.559725416820847,0.171,0.232,2.07281422901677e-08,"RGS1","5"
1.11606655639221e-12,-0.410862735360168,0.345,0.41,2.73659519627369e-08,"IFITM3","5"
1.12086966219807e-12,-0.402193290272959,0.414,0.471,2.74837241170966e-08,"SNHG8","5"
1.23753849103022e-12,-0.269422845621653,0.664,0.717,3.0344443800061e-08,"YPEL5","5"
1.90721601229155e-12,-0.306720530190475,0.487,0.554,4.67649366213889e-08,"EIF1AX","5"
3.08111003589618e-12,-0.302496659476599,0.496,0.563,7.55488180801744e-08,"ISG20","5"
4.96751795104883e-12,0.351754196173763,0.377,0.307,1.21803540159717e-07,"SPOCK2","5"
5.23296807175743e-12,-0.653728359098276,0.163,0.222,1.28312377119492e-07,"NFKBIZ","5"
5.55196482643128e-12,0.680992811156947,0.145,0.095,1.36134177544095e-07,"HOXB2","5"
8.11535716277099e-12,0.414102006791902,0.331,0.262,1.98988557631145e-07,"ASCL2","5"
9.35612932652812e-12,-0.833377054188304,0.064,0.105,2.2941229108647e-07,"IGHA1","5"
1.00670307500603e-11,-0.43806157413407,0.12,0.175,2.46843593991477e-07,"WAKMAR2","5"
1.18361101878701e-11,-0.325756804392034,0.881,0.892,2.90221421806574e-07,"FOS","5"
1.38577845794683e-11,-0.293756768621722,0.395,0.467,3.39792877888562e-07,"CD3E","5"
2.12347720309932e-11,-0.474541585809975,0.337,0.399,5.20676610199954e-07,"IFRD1","5"
2.54395594517144e-11,-0.322626862120267,0.316,0.384,6.23777997756038e-07,"DNAJC15","5"
5.5632311075844e-11,0.457340983527046,0.207,0.15,1.3641042675797e-06,"CALHM6","5"
6.2571165051167e-11,-0.380357580043712,0.389,0.449,1.53424496705461e-06,"IRF9","5"
6.37873858615151e-11,0.43020530387617,0.289,0.229,1.56406670132435e-06,"A2M-AS1","5"
7.78175502628075e-11,0.34919313248608,0.329,0.264,1.90808633244404e-06,"SYTL2","5"
1.8618288567178e-10,-0.330897668619687,0.383,0.444,4.56520435667203e-06,"SYAP1","5"
2.22031289267608e-10,-0.362862135365195,0.371,0.428,5.44420721284176e-06,"SMC1A","5"
2.56548293305939e-10,-0.743494769085325,0.094,0.138,6.29056415186162e-06,"Z93241.1","5"
2.78601024525444e-10,-0.384267453030851,0.287,0.348,6.8312971213639e-06,"STAT1","5"
3.58939954445138e-10,0.26605914690153,0.542,0.483,8.80120768299479e-06,"LIME1","5"
5.26177276867124e-10,-0.689359674047548,0.068,0.106,1.29018668287819e-05,"AC087239.1","5"
5.42363416899666e-10,0.540102883138288,0.146,0.1,1.32987509823798e-05,"RBM43","5"
7.67192460239888e-10,0.277660008177818,0.541,0.491,1.8811559125082e-05,"TBX21","5"
7.83969557577635e-10,-0.386091198876315,0.273,0.333,1.92229335518036e-05,"ARID5B","5"
9.7829030958223e-10,0.309504438553804,0.43,0.368,2.39876783909563e-05,"KLRG1","5"
1.08778389925981e-09,-0.3122630597963,0.31,0.371,2.66724612098505e-05,"RNASET2","5"
1.10416634063896e-09,-0.563082232655454,0.165,0.214,2.70741586724672e-05,"HES6","5"
1.52666615635969e-09,-0.297657230621087,0.451,0.512,3.74338541539396e-05,"CD2","5"
2.52666207036667e-09,-0.280577900329988,0.295,0.358,6.19537539653907e-05,"TSPYL2","5"
2.67192876286912e-09,-0.305593048724275,0.302,0.361,6.55156932655508e-05,"PRKX","5"
2.6901482724914e-09,-0.321627316666889,0.293,0.352,6.59624356414892e-05,"ATP2B1-AS1","5"
3.30008034495992e-09,-0.338009297823215,0.257,0.316,8.09179700584172e-05,"OTULIN","5"
3.62141991587018e-09,-0.592813611416451,0.064,0.1,8.87972163371368e-05,"AC092944.1","5"
7.07241316788206e-09,0.586213779221234,0.149,0.107,0.000173415570876468,"IGF1R","5"
7.18776951831488e-09,0.335637468437542,0.272,0.218,0.000176244108589081,"HEBP2","5"
7.85372345831711e-09,-0.48957932008787,0.191,0.24,0.000192573299197936,"COTL1","5"
