"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
4.50491305973982e-248,-1.87095297964327,0.21,0.637,1.1046046822482e-243,"XIST","7"
3.8171653688559e-227,1.39668537252484,0.73,0.276,9.35968948443466e-223,"RPS4Y1","7"
3.47604609768557e-100,1.29081251254893,0.443,0.182,8.52326503152502e-96,"DDX3Y","7"
1.34273258564324e-70,1.64713020404518,0.281,0.103,3.29238029999723e-66,"PRKY","7"
6.53786086905388e-66,1.38100252271999,0.295,0.116,1.60308348509201e-61,"USP9Y","7"
5.18214772009793e-63,1.55393222642454,0.26,0.094,1.27066262096801e-58,"UTY","7"
9.54278669276234e-57,-0.326423085576375,0.97,0.99,2.33989129706533e-52,"MTRNR2L12","7"
5.73522225810365e-42,1.41308029937643,0.199,0.078,1.40627649768702e-37,"EIF1AY","7"
3.02081565210372e-38,0.269836827896047,1,1,7.40703997895833e-34,"MT-ND3","7"
9.90635235255402e-37,-0.405292023822621,0.813,0.877,2.42903759684625e-32,"DDX3X","7"
9.81012912626259e-31,-1.23776613321319,0.119,0.227,2.40544366175959e-26,"LAIR2","7"
1.18252397468894e-30,1.59832449042561,0.133,0.048,2.89954878593728e-26,"KDM5D","7"
8.72891214851272e-30,-0.504765737886103,0.596,0.687,2.14032925881532e-25,"SNHG8","7"
1.52633167923856e-29,-0.652541747251493,0.328,0.456,3.74256527749296e-25,"PLCG2","7"
1.28215042241385e-28,-0.527913019737531,0.481,0.599,3.14383283575877e-24,"EIF1AX","7"
4.39897860850588e-26,-0.820481445225253,0.287,0.401,1.07862955480564e-21,"HIST1H1E","7"
5.20261896025381e-20,-0.269422205478584,0.874,0.909,1.27568216905424e-15,"ETS1","7"
3.6045562695448e-19,-0.597415031823766,0.401,0.492,8.83837197292386e-15,"HIST1H1D","7"
2.15419151994761e-18,-0.454988078104949,0.429,0.526,5.28207760691154e-14,"JPX","7"
4.29132448633226e-18,-0.50256222900504,0.399,0.502,1.05223276404867e-13,"GNLY","7"
